Visitor,Home,Week,Winner,HDAVE,VDAVE,HOff,VOff,HDef,VDef,HTotal,VTotal,HSpec,VSpec,log(HDAVE),log(VDAVE),14HPyth,14HEst,14HOff,14HDef,14HTotal,14VPyth,14VEst,14VOff,14VDef,14VTotal,Home Cushion,Spread,Open Spread,HWin,VWin
Browns,@Chargers,4,0,-3.8,-15.2,-3.5,-22.9,-7.2,-10.8,-18.5,-23.1,-7.8,10.6,3.401197382,2.660259537,8,8,7,-4.9,-0.6,6.9,7.2,-10.2,3,-6.7,-1.5,-4.5,-7,0.333,0.333
Packers,@49ers,4,0,-22.7,25.7,-21.9,42.8,-25.3,3.2,-51.4,51,-4.2,5,2.406945108,4.010962953,7,9,-0.4,10.1,6.6,11.2,10.8,24.7,1,23.3,-7,7,7,0.333,1
Rams,@Cardinals,4,0,27.7,4.6,37.8,-11.8,32.3,8.1,76.4,-0.5,6.3,3.2,4.119037175,3.529297384,8.3,7.4,-9.3,5,-6.4,7.1,6.1,-11.1,3.8,-3.8,-9,-7,-6,1,0.333
Vikings,@Broncos,4,0,18.1,3.1,-24.3,3,39.6,-3.8,23,0.7,7.7,1.5,3.94931879,3.484312288,11,13.3,20,13.2,29.5,7.5,7.2,-7.4,-4.3,-8.7,-4,-7,-7,1,0.667
Cowboys,@Saints,4,1,-12.7,-4.3,-4.9,4.1,-26.4,-3.8,-32.4,0.9,-1.1,0.6,3.04927304,3.226843995,7.4,7.6,10.6,-13.1,-0.9,10.8,10.3,16.8,-4,13.7,3,-3,-3,0,0.667
Lions,@Seahawks,4,0,17.3,-5,-4.1,-14.9,-3.4,-4.8,8.3,-18.4,15.8,1.3,3.933784497,3.198673118,11.9,12.7,16.8,16.8,31.9,9.2,8.7,-3.8,13.9,4.4,-7,-10,-9,0.333,0
Colts,@Texans,5,0,-25.1,-4.6,-19.4,-8.3,-9.9,-4.2,-41.3,-12.8,-12,-0.3,2.163323026,3.214867803,9.8,6.7,-6.8,6.2,-4.5,10.2,8.8,-1.1,2.3,4.5,-11,-4,0,0.25,0.5
Bears,@Chiefs,5,0,-6.6,-25.9,-3.3,-13.6,-17.8,-18,-16.7,-41.5,4.4,-9.9,3.303216973,1.280933845,10.1,9.4,5,-1.3,10.4,4.9,6.4,-0.1,-10.6,-13.8,-10,-9,-10,0.25,0.25
Seahawks,@Bengals,5,NA,25,16.1,36.5,-6,5.7,0.9,40.3,9.8,-1.9,14.9,4.074141855,3.819907717,8.6,9,-1.4,2.3,5,11.9,12.7,16.8,16.8,31.9,0,-3,-3,1,0.5
Redskins,@Falcons,5,0,11.5,-9.5,23.7,1.1,-7.6,-1.5,18.6,-1.2,2.5,-0.8,3.813307032,2.995732274,7.1,7.2,7.2,-15.7,-5.4,4.5,4.4,-11.8,-9.9,-27,-1,-7,-8,1,0.5
Jaguars,@Buccaneers,5,1,-26.9,-16.1,-33.4,-7,0.9,-3.5,-36.6,-15.9,-4.1,-5.4,1.931521412,2.595254707,4.4,4.1,-26.3,-1.1,-28.3,3.6,3.3,-24.3,-1.5,-29.5,6,-1,-3,0.25,0.25
Saints,@Eagles,5,1,2,-7.4,-13,5.9,14.1,-20.9,0.1,-14.5,-1,0.5,3.577947893,3.095577609,9.7,9.7,1.1,3.3,12.8,7.4,7.6,10.6,-13.1,-0.9,15.5,-6.5,-5,0.25,0.25
Browns,@Ravens,5,0,3.7,-12.1,-4.8,-12.2,1.9,-13.7,2.2,-13.7,5.1,12.2,3.624340933,2.856470206,10.9,11.5,9.4,4.6,21.9,6.9,7.2,-10.2,3,-6.7,-9.5,-6.5,-6.5,0.25,0.25
Rams,@Packers,5,1,27.3,7.2,31.1,-6,9,7.6,42.5,6.7,2.4,5.1,4.112511866,3.602776755,11.2,10.8,24.7,1,23.3,7.1,6.1,-11.1,3.8,-3.8,5,-9,-10,1,0.5
Bills,@Titans,5,0,-8,6.5,1.4,10.8,9.5,5,1.6,16.3,-9.3,0.5,3.250374492,3.583518938,3.3,4,-16.4,-11.2,-29.3,9.6,9,-11.2,15.5,10.5,-1,0,3,0.333,0.5
Cardinals,@Lions,5,0,-5.3,25.2,-7.9,22.7,-5,23.2,-12.8,49.8,0.1,3.9,3.349904087,4.001863709,9.2,8.7,-3.8,13.9,4.4,8.3,7.4,-9.3,5,-6.4,-20,5,3,0,0.75
Patriots,@Cowboys,5,0,-2.6,32.2,4.6,44.7,-6.7,0.1,-3.5,52.1,-1.4,7.3,3.440418095,4.122283931,10.8,10.3,16.8,-4,13.7,11.8,10.8,13.5,3,22.1,-15,8,7,0.5,1
Broncos,@Raiders,5,0,-3.8,15.9,2.9,-23.8,-7.8,33.2,1.5,16.9,6.4,7.5,3.401197382,3.815512105,3.1,4.8,-19.4,-6.3,-27.4,11,13.3,20,13.2,29.5,-0.5,5.5,5.5,0.5,1
49ers,@Giants,5,0,4.1,-28.5,-0.4,-25.8,6.8,-17.1,10.2,-48.9,3.8,-6,3.634951112,0,7.5,7,-0.3,-4.9,-5.8,7,9,-0.4,10.1,6.6,-4.5,-7.5,-7,0.5,0.25
Steelers,@Chargers,5,0,-4.6,11.6,2.7,20.9,-8,1.3,-13.3,17.7,-8,-4.5,3.374168709,3.716008122,8,8,7,-4.9,-0.6,9.7,9.4,22.5,-11.3,12.1,-8,-4,-3.5,0.5,0.5
Falcons,@Saints,6,1,-12.9,7.2,4.3,13.1,-21.8,-2.8,-18.4,8.7,-0.9,-1.6,3.039749159,3.602776755,7.4,7.6,10.6,-13.1,-0.9,7.1,7.2,7.2,-15.7,-5.4,13,3,3,0.2,1
Redskins,@Jets,6,1,9.3,-3,-4.2,-2.5,26.7,5.4,15.6,2.7,-6.9,-0.2,3.763522997,3.277144733,4.8,5.9,-11.2,-3.5,-15.5,4.5,4.4,-11.8,-9.9,-27,6.5,-7,-5.5,0.75,0.4
Cardinals,@Steelers,6,1,14.6,36.2,20.7,25.2,0.2,22.2,18.5,51.5,-2.4,4.1,3.879499814,4.185098925,9.7,9.4,22.5,-11.3,12.1,8.3,7.4,-9.3,5,-6.4,17.5,5,3,0.6,0.8
Chiefs,@Vikings,6,1,-4.2,-8.7,-4.3,-0.5,-5.9,-16,-10.8,-13.7,-0.6,2.8,3.387774361,3.034952987,7.5,7.2,-7.4,-4.3,-8.7,10.1,9.4,5,-1.3,10.4,3,-3,-3.5,0.5,0.2
Bengals,@Bills,6,0,9.5,25.1,7.9,30.2,7.3,1.5,15.4,32.3,0.2,0.6,3.768152635,4.000033883,9.6,9,-11.2,15.5,10.5,8.6,9,-1.4,2.3,5,-10,3,-1,0.6,1
Bears,@Lions,6,0,-18.7,-24.3,-14.8,-9.3,-12,-14.7,-26.9,-30.7,-0.1,-6.7,2.714694744,1.648658626,9.2,8.7,-3.8,13.9,4.4,4.9,6.4,-0.1,-10.6,-13.8,-0.5,-3.5,-3,0,0.4
Broncos,@Browns,6,NA,-8,12.2,-3.3,-26.7,-14.1,31.9,-7.6,11.1,9.8,5.9,3.250374492,3.730501129,6.9,7.2,-10.2,3,-6.7,11,13.3,20,13.2,29.5,0,3,4.5,0.4,1
Texans,@Jaguars,6,0,-17,-28.2,-2.7,-14.1,-8.2,-12.2,-17.2,-36.7,-6.3,-10.4,2.821378886,0.2623642645,3.6,3.3,-24.3,-1.5,-29.5,9.8,6.7,-6.8,6.2,-4.5,-14,-3,0,0.2,0.2
Dolphins,@Titans,6,0,-4.1,-18.9,-2,-13.3,12.6,-17.9,3.7,-28.5,-6.9,2.7,3.391147046,2.360854001,3.3,4,-16.4,-11.2,-29.3,8.4,8.8,10.1,-0.5,3.5,-31,-3,-3,0.25,0.25
