Visitor,Home,Week,Winner,HDAVE,VDAVE,HOff,VOff,HDef,VDef,HTotal,VTotal,HSpec,VSpec,14HPyth,14HEst,14HOff,14HDef,14HTotal,14VPyth,14VEst,14VOff,14VDef,14VTotal
Texans,@Jaguars,6,NA,,,,,,,,,,,3.6,3.3,-24.3,-1.5,-29.5,9.8,6.7,-6.8,6.2,-4.5
Dolphins,@Titans,6,NA,,,,,,,,,,,3.3,4,-16.4,-11.2,-29.3,8.4,8.8,10.1,-0.5,3.5
Panthers,@Seahawks,6,NA,,,,,,,,,,,11.9,12.7,16.8,16.8,31.9,7,7.4,-4.7,1.7,-8.5
Chargers,@Packers,6,NA,,,,,,,,,,,11.2,10.8,24.7,1,23.3,8,8,7,-4.9,-0.6
Ravens,@49ers,6,NA,,,,,,,,,,,7,9,-0.4,10.1,6.6,10.9,11.5,9.4,4.6,21.9
Patriots,@Colts,6,NA,,,,,,,,,,,10.2,8.8,-1.1,2.3,4.5,11.8,10.8,13.5,3,22.1
Giants,@Eagles,6,NA,,,,,,,,,,,9.7,9.7,1.1,3.3,12.8,7.5,7,-0.3,-4.9,-5.8
Seahawks,@49ers,7,NA,,,,,,,,,,,7,9,-0.4,10.1,6.6,11.9,12.7,16.8,16.8,31.9
Bills,@Jaguars,7,NA,,,,,,,,,,,3.6,3.3,-24.3,-1.5,-29.5,9.6,9,-11.2,15.5,10.5
Buccaneers,@Redskins,7,NA,,,,,,,,,,,4.5,4.4,-11.8,-9.9,-27,4.4,4.1,-26.3,-1.1,-28.3
Falcons,@Titans,7,NA,,,,,,,,,,,3.3,4,-16.4,-11.2,-29.3,7.1,7.2,7.2,-15.7,-5.4
Saints,@Colts,7,NA,,,,,,,,,,,10.2,8.8,-1.1,2.3,4.5,7.4,7.6,10.6,-13.1,-0.9
Vikings,@Lions,7,NA,,,,,,,,,,,9.2,8.7,-3.8,13.9,4.4,7.5,7.2,-7.4,-4.3,-8.7
