,Home,Week,Winner,HDAVE,VDAVE,HOff,VOff,HDef,VDef,HTotal,VTotal,HSpec,VSpec,14HSpec,14VSpec,14HPyth,14HEst,14HOff,14HDef,14HTotal,14VPyth,14VEst,14VOff,14VDef,14VTotal
Saints,@Colts,7,NA,,,,,,,,,,,3.3,1.6,10.2,8.8,-1.1,2.3,4.5,7.4,7.6,10.6,-13.1,-0.9
Vikings,@Lions,7,NA,,,,,,,,,,,-5.7,3,9.2,8.7,-3.8,13.9,4.4,7.5,7.2,-7.4,-4.3,-8.7
Steelers,@Chiefs,7,NA,,,,,,,,,,,6.7,0.9,10.1,9.4,5,-1.3,10.4,9.7,9.4,22.5,-11.3,12.1
Browns,@Rams,7,NA,,,,,,,,,,,3.5,0.5,7.1,6.1,-11.1,3.8,-3.8,6.9,7.2,-10.2,3,-6.7
Texans,@Dolphins,7,NA,,,,,,,,,,,-6.1,-3.9,8.4,8.8,10.1,-0.5,3.5,9.8,6.7,-6.8,6.2,-4.5
Jets,@Patriots,7,NA,,,,,,,,,,,5.6,-0.8,11.8,10.8,13.5,3,22.1,4.8,5.9,-11.2,-3.5,-15.5
Raiders,@Chargers,7,NA,,,,,,,,,,,-2.7,-1.7,8,8,7,-4.9,-0.6,3.1,4.8,-19.4,-6.3,-27.4
Cowboys,@Giants,7,NA,,,,,,,,,,,-0.6,0.9,7.5,7,-0.3,-4.9,-5.8,10.8,10.3,16.8,-4,13.7
Eagles,@Panthers,7,NA,,,,,,,,,,,-5.5,8.4,7,7.4,-4.7,1.7,-8.5,9.7,9.7,1.1,3.3,12.8
Ravens,@Cardinals,7,NA,,,,,,,,,,,-2.1,7.9,8.3,7.4,-9.3,5,-6.4,10.9,11.5,9.4,4.6,21.9
Dolphins,@Patriots,8,NA,,,,,,,,,,,5.6,-6.1,11.8,10.8,13.5,3,22.1,8.4,8.8,10.1,-0.5,3.5
Lions,@Chiefs,8,NA,,,,,,,,,,,6.7,-5.7,10.1,9.4,5,-1.3,10.4,9.2,8.7,-3.8,13.9,4.4
Buccaneers,@Falcons,8,NA,,,,,,,,,,,3.1,-0.9,7.1,7.2,7.2,-15.7,-5.4,4.4,4.1,-26.3,-1.1,-28.3
Cardinals,@Browns,8,NA,,,,,,,,,,,0.5,-2.1,6.9,7.2,-10.2,3,-6.7,8.3,7.4,-9.3,5,-6.4
49ers,@Rams,8,NA,,,,,,,,,,,3.5,-3.1,7.1,6.1,-11.1,3.8,-3.8,7,9,-0.4,10.1,6.6
Giants,@Saints,8,NA,,,,,,,,,,,1.6,-0.6,7.4,7.6,10.6,-13.1,-0.9,7.5,7,-0.3,-4.9,-5.8
Vikings,@Bears,8,NA,,,,,,,,,,,-3.1,3,4.9,6.4,-0.1,-10.6,-13.8,7.5,7.2,-7.4,-4.3,-8.7
Chargers,@Ravens,8,NA,,,,,,,,,,,7.9,-2.7,10.9,11.5,9.4,4.6,21.9,8,8,7,-4.9,-0.6
Bengals,@Steelers,8,NA,,,,,,,,,,,0.9,4.1,9.7,9.4,22.5,-11.3,12.1,8.6,9,-1.4,2.3,5
Titans,@Texans,8,NA,,,,,,,,,,,-3.9,-1.7,9.8,6.7,-6.8,6.2,-4.5,3.3,4,-16.4,-11.2,-29.3
Jets,@Raiders,8,NA,,,,,,,,,,,-1.7,-0.8,3.1,4.8,-19.4,-6.3,-27.4,4.8,5.9,-11.2,-3.5,-15.5
Seahawks,@Cowboys,8,NA,,,,,,,,,,,0.9,-1.7,10.8,10.3,16.8,-4,13.7,11.9,12.7,16.8,16.8,31.9
Packers,@Broncos,8,NA,,,,,,,,,,,-3.7,-2.4,11,13.3,20,13.2,29.5,11.2,10.8,24.7,1,23.3
Colts,@Panthers,8,NA,,,,,,,,,,,-5.5,3.3,7,7.4,-4.7,1.7,-8.5,10.2,8.8,-1.1,2.3,4.5
Browns,@Bengals,9,NA,,,,,,,,,,,4.1,0.5,8.6,9,-1.4,2.3,5,6.9,7.2,-10.2,3,-6.7
Packers,@Panthers,9,NA,,,,,,,,,,,-5.5,-2.4,7,7.4,-4.7,1.7,-8.5,11.2,10.8,24.7,1,23.3
Redskins,@Patriots,9,NA,,,,,,,,,,,5.6,-5.3,11.8,10.8,13.5,3,22.1,4.5,4.4,-11.8,-9.9,-27
Titans,@Saints,9,NA,,,,,,,,,,,1.6,-1.7,7.4,7.6,10.6,-13.1,-0.9,3.3,4,-16.4,-11.2,-29.3
Dolphins,@Bills,9,NA,,,,,,,,,,,6.2,-6.1,9.6,9,-11.2,15.5,10.5,8.4,8.8,10.1,-0.5,3.5
Rams,@Vikings,9,NA,,,,,,,,,,,3,3.5,7.5,7.2,-7.4,-4.3,-8.7,7.1,6.1,-11.1,3.8,-3.8
Jaguars,@Jets,9,NA,,,,,,,,,,,-0.8,-3.7,4.8,5.9,-11.2,-3.5,-15.5,3.6,3.3,-24.3,-1.5,-29.5
Raiders,@Steelers,9,NA,,,,,,,,,,,0.9,-1.7,9.7,9.4,22.5,-11.3,12.1,3.1,4.8,-19.4,-6.3,-27.4
Giants,@Buccaneers,9,NA,,,,,,,,,,,-0.9,-0.6,4.4,4.1,-26.3,-1.1,-28.3,7.5,7,-0.3,-4.9,-5.8
Falcons,@49ers,9,NA,,,,,,,,,,,-3.1,3.1,7,9,-0.4,10.1,6.6,7.1,7.2,7.2,-15.7,-5.4
Broncos,@Colts,9,NA,,,,,,,,,,,3.3,-3.7,10.2,8.8,-1.1,2.3,4.5,11,13.3,20,13.2,29.5
Eagles,@Cowboys,9,NA,,,,,,,,,,,0.9,8.4,10.8,10.3,16.8,-4,13.7,9.7,9.7,1.1,3.3,12.8
Bears,@Chargers,9,NA,,,,,,,,,,,-2.7,-3.1,8,8,7,-4.9,-0.6,4.9,6.4,-0.1,-10.6,-13.8
Bills,@Jets,10,NA,,,,,,,,,,,-0.8,6.2,4.8,5.9,-11.2,-3.5,-15.5,9.6,9,-11.2,15.5,10.5
Lions,@Packers,10,NA,,,,,,,,,,,-2.4,-5.7,11.2,10.8,24.7,1,23.3,9.2,8.7,-3.8,13.9,4.4
Cowboys,@Buccaneers,10,NA,,,,,,,,,,,-0.9,0.9,4.4,4.1,-26.3,-1.1,-28.3,10.8,10.3,16.8,-4,13.7
